"","province","longitude","latitude","year","total"
"1","Eastern Cape",24.2167723,-32.087855,2011,6829958
"2","Eastern Cape",24.2167723,-32.087855,2013,6620100
"3","Eastern Cape",24.2167723,-32.087855,2014,6786900
"4","Eastern Cape",24.2167723,-32.087855,2015,6916200
"5","Eastern Cape",24.2167723,-32.087855,2016,7061700
"6","Free State",25.9420703,-28.6767688,2011,2759644
"7","Free State",25.9420703,-28.6767688,2013,2753200
"8","Free State",25.9420703,-28.6767688,2014,2786800
"9","Free State",25.9420703,-28.6767688,2015,2817900
"10","Free State",25.9420703,-28.6767688,2016,2861600
"11","Gauteng",27.5655893,-26.0088312,2011,11328203
"12","Gauteng",27.5655893,-26.0088312,2013,12728400
"13","Gauteng",27.5655893,-26.0088312,2014,12914800
"14","Gauteng",27.5655893,-26.0088312,2015,13200300
"15","Gauteng",27.5655893,-26.0088312,2016,13498200
"16","KwaZulu-Natal",29.7584324,-28.9402347,2011,10819130
"17","KwaZulu-Natal",29.7584324,-28.9402347,2013,10456900
"18","KwaZulu-Natal",29.7584324,-28.9402347,2014,10694400
"19","KwaZulu-Natal",29.7584324,-28.9402347,2015,10919100
"20","KwaZulu-Natal",29.7584324,-28.9402347,2016,11079700
"21","Limpopo",28.0218516,-23.7698437,2011,5554657
"22","Limpopo",28.0218516,-23.7698437,2013,5518000
"23","Limpopo",28.0218516,-23.7698437,2014,5630500
"24","Limpopo",28.0218516,-23.7698437,2015,5726800
"25","Limpopo",28.0218516,-23.7698437,2016,5803900
"26","Mpumalanga",29.0146982,-25.7393817,2011,3657181
"27","Mpumalanga",29.0146982,-25.7393817,2013,4128000
"28","Mpumalanga",29.0146982,-25.7393817,2014,4229300
"29","Mpumalanga",29.0146982,-25.7393817,2015,4283900
"30","Mpumalanga",29.0146982,-25.7393817,2016,4328300
"31","Northern Cape",18.7520103,-28.8367726,2011,1096731
"32","Northern Cape",18.7520103,-28.8367726,2013,1162900
"33","Northern Cape",18.7520103,-28.8367726,2014,1166700
"34","Northern Cape",18.7520103,-28.8367726,2015,1185600
"35","Northern Cape",18.7520103,-28.8367726,2016,1191700
"36","North West",24.3398679,-26.3705378,2011,3253390
"37","North West",24.3398679,-26.3705378,2013,3597600
"38","North West",24.3398679,-26.3705378,2014,3676300
"39","North West",24.3398679,-26.3705378,2015,3707000
"40","North West",24.3398679,-26.3705378,2016,3790600
"41","Western Cape",18.7415639,-32.6116087,2011,5287863
"42","Western Cape",18.7415639,-32.6116087,2013,6016900
"43","Western Cape",18.7415639,-32.6116087,2014,6116300
"44","Western Cape",18.7415639,-32.6116087,2015,6200100
"45","Western Cape",18.7415639,-32.6116087,2016,6293200
